_id	model.x	model.y	clust_3	lemma	newspaper	country	formality	_cws.model	_ctxt.model	disambiguation
woedend/adj/volkskrant_19991022_60/239	5.355765709	-27.94892408	3	woedend	volkskrant	Netherlands	quality	roep_op/verb;Kenia/name;in/prep;reactie/noun	<small>een roeping , een boek waarvan je ook nu nog ziet dat het ruzie zoekt</small> . Het <u>riep</u><sup>17.3</sup> <u>in</u><sup>252.829</sup> <u>Kenia</u><sup>8.898</sup> <span class='target'>woedende</span> <u>reacties</u><sup>1694.794</sup> op , en hoewel <small>het niet officieel verboden werd , is het waarschijnlijk de aanleiding voor veel van de</small>	furious
laaiend/adj/de_standaard_20041125_01_102/475	27.3711325	-17.85620319	1	laaiend	de_standaard	Belgium	quality	directeur/noun;ben/verb;van/prep;enthoesiast/adj;over/prep;project/noun	<small>om beginnende bedrijven in de sociale economie te steunen . " Pol Schats , de</small> <u>directeur</u><sup>2.481</sup> <u>van</u><sup>8.872</sup> Trividend , <u>was</u><sup>652.426</sup> <span class='target'>laaiend</span> <u>enthousiast</u><sup>6715.698</sup> <u>over</u><sup>477.063</sup> ons <u>project</u><sup>7.837</sup> " <small>, zegt Marynissen . " Het kennismakingsgesprek dat we met hem hadden , verliep erg</small>	very
woedend/adj/parool_20021009_48/626	-57.81966006	32.24618798	2	woedend	parool	Netherlands	popular	ben/verb;brief_kaart_actie/noun;weet/verb;heel/adv	<small>het ware een vaderlandslievende plicht om negatief te zijn over de Duitsers . Denk aan</small> de <u>briefkaartenactie</u><sup>33.641</sup> ' Wij <u>zijn</u><sup>2501.793</sup> <span class='target'>woedend</span> ' . Claus <u>wist</u><sup>5.048</sup> <u>heel</u><sup>13.626</sup> <small>goed wat zijn beperkingen waren bij zijn streven dat Duitslandbeeld te verbeteren . Hij moest</small>	furious
laaiend/adj/de_morgen_20031017_01_109/384	61.6853822	-6.438574405	1	laaiend	de_morgen	Belgium	quality	ben/verb;muzikant/noun;enthoesiast/adj;herinner/verb	<small>haar arrangementen schrijft . Dan is het vanzelfsprekend dat hij ook het orkest leidt ,</small> helaas . Mijn <u>muzikanten</u><sup>8.545</sup> <u>waren</u><sup>652.426</sup> <span class='target'>laaiend</span> <u>enthousiast</u><sup>6715.698</sup> . Ik <u>herinner</u><sup>1.894</sup> me <small>dat toen Alitalia staakte zij al het mogelijke deden om in Bologna te geraken .</small>	very
laaiend/adj/de_morgen_19990403_01_100/371	1.744019787	31.649091	3	laaiend	de_morgen	Belgium	quality	recht/adj;in/prep;tijd/noun;barst_uit/adj;Latijns/adj;straat_ruzie/noun	<small>huid iets van een Spaanse mama . Murmelend achter de pruttelende potten , en te</small> <u>rechter</u><sup>1.078</sup> <u>tijd</u><sup>7.334</sup> <u>uitbarstend</u><sup>12.73</sup> <u>in</u><sup>18.376</sup> een <span class='target'>laaiende</span> maar eerlijke <u>Latijnse</u><sup>4.845</sup> <u>straatruzie</u><sup>12.458</sup> . <small>Verkocht ze lucht in pakjes , je zou ze nog van Denise kopen . "</small>	furious
woedend/adj/algemeen_dagblad_20040618_13/251	-21.27120042	10.76820971	3	woedend	algemeen_dagblad	Netherlands	popular	aldus/prep;Kruisland/name;word/verb	<small>weiger me op deze wijze te laten toucheren en fouilleren , desnoods sturen ze me</small> terug " , <u>aldus</u><sup>2.119</sup> een <span class='target'>woedende</span> <u>Kruisland</u><sup>7.032</sup> . De 100-procentscontrole <u>werd</u><sup>22.687</sup> <small>in februari op Schiphol ingevoerd voor vluchten uit Suriname en de Nederlandse Antillen in een</small>	furious
laaiend/adj/parool_20000304_82/356	-28.82233489	-23.49139579	3	laaiend	parool	Netherlands	popular	ben/verb;bewind_persoon/noun;daar/noun;over/prep;kan/verb;daar/noun	<small>had een Kamerlid in een regionale krant gezegd dat een staatssecretaris niet te vertrouwen was</small> . Die <u>bewindspersoon</u><sup>6.915</sup> <u>was</u><sup>652.426</sup> <u>daar</u><sup>2.392</sup> <span class='target'>laaiend</span> <u>over</u><sup>477.063</sup> . <u>Daar</u><sup>2.392</sup> <u>kunnen</u><sup>8.142</sup> de <small>ambtenaren niet veel aan doen , maar het bericht gaat wel gelijk de hele directie</small>	furious
woedend/adj/volkskrant_20040924_04/326	10.25072767	-46.72515591	3	woedend	volkskrant	Netherlands	quality	reageer/verb;nog/adv;weekeinde/noun;Erdogan/name;op/prep;kritiek/noun	<small>het parlement het signaal om het hele hervormingspakket op de lange baan te schuiven .</small> <u>Erdogan</u><sup>6.454</sup> <u>reageerde</u><sup>6020.606</sup> afgelopen <u>weekeinde</u><sup>7.337</sup> <u>nog</u><sup>47.573</sup> <span class='target'>woedend</span> <u>op</u><sup>792.851</sup> Verheugens <u>kritiek</u><sup>10.602</sup> , maar <small>beloofde gisteren dat het parlement in spoedzitting bijeen zal komen om de hervormingen aan te</small>	furious
laaiend/adj/volkskrant_20000302_38/93	-38.10599815	36.20180734	2	laaiend	volkskrant	Netherlands	quality	Roermond/name;wethouder/noun;ben/verb;van/prep;Das/name;Boom/name	<small>vandaag nog naartoe . ' Van Rey , voormalig Tweede-Kamerlid voor de VVD en thans</small> <u>wethouder</u><sup>3.875</sup> <u>van</u><sup>8.872</sup> <u>Roermond</u><sup>4.661</sup> , <u>is</u><sup>652.426</sup> <span class='target'>laaiend</span> op <u>Das</u><sup>3.641</sup> en <u>Boom</u><sup>2.279</sup> . <small>De vereniging voor bedreigde diersoorten heeft zich na haar strijd voor de Limburgse korenwolf nu</small>	furious
woedend/adj/volkskrant_20001012_63/99	12.60575279	21.0544449	3	woedend	volkskrant	Netherlands	quality	ander/adj;muziek/noun;slaap_trein/noun;hoorn/noun;gooi/verb	<small>ettelijke keren ' al onze medewerkers zijn in gesprek ' , reclame voor één of</small> <u>andere</u><sup>5.799</sup> <u>slaaptrein</u><sup>7.272</sup> en <u>muziek</u><sup>3.605</sup> , <span class='target'>woedend</span> de <u>hoorn</u><sup>20.533</sup> erop <u>gegooid</u><sup>71.429</sup> . <small>Wel tien gulden lichter . Wat zijn dit voor praktijken ? Wat service spoorwegen ?</small>	furious
