_id	model.x	model.y	clust_4	lemma	newspaper	country	formality	_cws.model	_ctxt.model	in_concept
briljant/adj/algemeen_dagblad_20020411_155/158	-1.89343408884346	-33.3933244714578	2	briljant	algemeen_dagblad	Netherlands	popular	ben/verb;film/noun;op/prep;uitgevoerd/adj	<small>klaren . De opdracht wordt uiteindelijk aanvaard en loopt natuurlijk uit de hand . Hart</small> van de <u>film</u><sup>212.946</sup> <u>is</u><sup>336.212</sup> de <span class='target'>briljante</span> <u>uitgevoerde</u><sup>83.957</sup> overval <u>op</u><sup>19.022</sup> een vliegveld <small>. Maar , en dat is het aantrekkelijke van een Mamet-film , dat gebeurt niet</small>	yes
briljant/adj/volkskrant_20040227_up/317	-34.7004653624604	-17.6381133892102	3	briljant	volkskrant	Netherlands	quality	met/prep;stem/noun;verschil/adj	<small>handen vandaan , in het langzame deel verrijkt met de geheimzinnige timbre-effecten van het dolce-pedaal</small> , en besloten <u>met</u><sup>88.375</sup> het <span class='target'>briljante</span> boompje-verwisselen van de <u>verschillende</u><sup>4.357</sup> <u>stemmen</u><sup>3.791</sup> <small>in het afsluitende Allegretto . Een Geheimtip , deze pianist . Gothic herleeft , voor</small>	yes
briljant/adj/volkskrant_19991130_85/111	-25.298168611331	36.6125304996005	1	briljant	volkskrant	Netherlands	quality	om/prep;tussen/prep;dr./name;Lecter/name;serie_moordenaar/noun;Hannibal/name	<small>het boek van Thomas Harris . Hannibal draait net als The Silence of the lambs</small> <u>om</u><sup>34.229</sup> de relatie <u>tussen</u><sup>2.794</sup> de <span class='target'>briljante</span> <u>seriemoordenaar</u><sup>14.565</sup> <u>dr.</u><sup>3.87</sup> <u>Hannibal</u><sup>42.928</sup> <u>Lecter</u><sup>56.977</sup> en <small>FBI-agente Clarice Starling .</small>	yes
geniaal/adj/algemeen_dagblad_20020829_149/273	27.0690284264735	-0.828900833342671	2	geniaal	algemeen_dagblad	Netherlands	popular	sommig/adj;Palma/name;De/name;vind/verb;filmmaker/noun;vind/verb	<small>een hecht doortimmerd plot dat alleen aan het slot enigszins uit de bocht vliegt .</small> <u>Sommigen</u><sup>6.28</sup> <u>vinden</u><sup>76.589</sup> <u>De</u><sup>18.444</sup> <u>Palma</u><sup>3.427</sup> een <span class='target'>geniale</span> <u>filmmaker</u><sup>12.915</sup> , anderen <u>vinden</u><sup>76.589</sup> zijn <small>werk bespottelijk . Ook Femme Fatale zal de meningen weer heftig verdelen .</small>	yes
geniaal/adj/het_nieuwsblad_20000506_01_92/427	-0.757811711101327	-10.8448130656787	1	geniaal	het_nieuwsblad	Belgium	popular	sjaal_DIM/noun;zal/verb;zo/adv;blijk/verb	<small>een cardboard ! En op de achterkant tekenen we uit op welke manieren de koper</small> het <u>sjaaltje</u><sup>4.964</sup> kan dragen . <span class='target'>Geniaal</span> , <u>zo</u><sup>36.911</sup> <u>zal</u><sup>25.397</sup> <u>blijken</u><sup>4.169</sup> . <small>Uitgaan Het vervolg van het verhaal is bekend . Buff wordt snel populair , zeker</small>	yes
briljant/adj/het_laatste_nieuws_20021119_01_90/234	-30.44510987713	-1.98124318879725	1	briljant	het_laatste_nieuws	Belgium	popular	Maenhoudt/name;BPM/name;	<small>. Tegenwoordig vult het echtpaar hun dagen met tv-kijken en de krant lezen . (</small> <u>BPM</u><sup>7.748</sup> . Foto <u>Maenhoudt</u><sup>5.449</sup> ) <span class='target'>BRILJANT</span>  <small></small>	no
briljant/adj/de_morgen_20000323_01_83/53	34.7889377833233	38.9895814312548	2	briljant	de_morgen	Belgium	quality	Niro/name;ben/verb;Monseigneur/name;De/name;ongenoegen/noun;tot/prep;priester/noun	<small>Robert Duvall , Charles Durning , Ed Flanders , Burgess Meredith en Cyril Cusack .</small> <u>Monseigneur</u><sup>13.329</sup> <u>De</u><sup>8.736</sup> <u>Niro</u><sup>24.355</sup> <u>is</u><sup>336.212</sup> een <span class='target'>briljante</span> <u>priester</u><sup>2.079</sup> . <u>Tot</u><sup>14.532</sup> <u>ongenoegen</u><sup>1.401</sup> van <small>zijn broer , politie-inspecteur Duvall , gaat hij nogal vertrouwelijk om met Charles Durning ,</small>	yes
briljant/adj/parool_20031126_10/132	-14.5025740824982	-15.5409269795742	1	briljant	parool	Netherlands	popular	heb/verb;tevens/adv;verhaal/noun;vertel/verb;word/verb	<small>wereldwijd . Maar die zag er dan ook niet alleen rijk en schitterend uit maar</small> <u>had</u><sup>4.339</sup> <u>tevens</u><sup>19.471</sup> een <u>verhaal</u><sup>27.341</sup> dat <span class='target'>briljant</span> <u>werd</u><sup>81.253</sup> <u>verteld</u><sup>3.971</sup> . En als <small>wij bij Pixar een verkeerd onderwerp zouden kiezen of een verhaal krakkemikkig zouden vertellen ,</small>	yes
briljant/adj/parool_20040522_124/304	20.7183022259759	4.62367269655936	2	briljant	parool	Netherlands	popular	ben/verb;leerling/noun;plaats/noun	<small>van die 5,5 en daarmee de kans verkleinen dat kostbare studiejaren verloren gaan . Al</small> <u>was</u><sup>336.212</sup> het maar om de <span class='target'>briljante</span> <u>leerlingen</u><sup>85.764</sup> een <u>plaats</u><sup>11.563</sup> te garanderen <small>. Las ik vorige week in Het Parool dat men voornemens is het loten af</small>	yes
geniaal/adj/de_morgen_20020307_01_42/17	-33.4290445231852	25.7889585745659	1	geniaal	de_morgen	Belgium	quality	artikel/noun;Justin/name;kind/noun;Chapman/name	<small>CORRECTIE Het artikel over 's werelds</small> Het <u>artikel</u><sup>1.328</sup> over 's werelds <span class='target'>geniaalste</span> <u>kind</u><sup>3.206</sup> <u>Justin</u><sup>8.059</sup> <u>Chapman</u><sup>11.039</sup> , dat <small>gisteren op pagina 36 stond , is niet van de hand van Bart Steenhaut maar</small>	yes
