marido/n/usa_b1153/21209,120
esposo/n/col_g1023/44167,120
marido/n/spa_g2285/70,120
esposo/n/per_g0709/17433,120
marido/n/mex_b0005/25857,120
marido/n/mex_b0841/42510,19
marido/n/arg_g0638/16476,120
esposo/n/arg_g0782/8442,120
esposo/n/col_b0548/12218,117
marido/n/spa_b4190/20571,73
esposo/n/per_g0054/22663,120
marido/n/arg_b0630/1626,52
marido/n/mex_g1165/1670,120
esposo/n/mex_g1101/27574,120
marido/n/usa_b0648/1689,120
marido/n/per_g0812/14886,5
esposo/n/per_g0819/8325,120
marido/n/mex_g0544/22946,120
esposo/n/mex_g0434/46481,32
esposo/n/mex_b2077/34972,120
marido/n/col_b0390/19966,24
esposo/n/mex_b1480/7111,130
marido/n/mex_b0523/44743,81
marido/n/usa_b0167/9374,120
esposo/n/per_b0604/16310,120
marido/n/per_b0205/46674,120
marido/n/mex_g2219/11212,120
marido/n/mex_b0187/5405,120
esposo/n/spa_g2843/51187,120
esposo/n/mex_b0179/54664,120
marido/n/arg_b0602/18053,120
esposo/n/per_g0356/47617,113
marido/n/spa_b1259/57019,120
marido/n/mex_g1629/20636,120
esposo/n/usa_g0229/88158,120
esposo/n/col_b0924/10373,23
esposo/n/arg_g1509/18602,122
marido/n/usa_b1247/18051,120
esposo/n/per_b1001/41136,112
esposo/n/per_b0655/13608,131
esposo/n/per_g0676/48638,120
esposo/n/mex_g0441/19656,120
esposo/n/usa_g0444/56569,120
esposo/n/arg_g0960/14297,-1
esposo/n/per_g0215/52123,141
marido/n/arg_g1025/11063,120
esposo/n/spa_g0023/452,120
marido/n/usa_b1293/19821,120
esposo/n/mex_g2386/51730,54
marido/n/arg_b0095/16365,120
esposo/n/col_g0420/46975,120
marido/n/arg_b1431/43500,109
esposo/n/mex_b2264/29898,120
marido/n/mex_b0915/54393,-1
marido/n/spa_g0781/9712,139
esposo/n/mex_b0005/22728,120
esposo/n/per_b0257/37533,120
esposo/n/mex_b0989/43641,60
esposo/n/col_g0697/43496,120
marido/n/spa_b0148/16557,36
marido/n/arg_b1179/5224,120
esposo/n/col_g0420/52936,26
marido/n/spa_b1117/49065,120
marido/n/arg_b0306/26337,90
esposo/n/usa_g0287/37339,120
esposo/n/usa_g0612/18312,120
esposo/n/mex_b0005/12190,-1
esposo/n/arg_b1162/15168,117
esposo/n/col_g0291/15173,148
marido/n/arg_g0518/20525,0
esposo/n/spa_b3855/16854,120
marido/n/per_b0638/24359,87
esposo/n/per_b0565/10871,101
esposo/n/mex_g0363/5636,120
esposo/n/mex_g1844/51683,120
marido/n/spa_b1222/33297,120
esposo/n/col_b0683/43786,120
marido/n/usa_b1118/356,120
esposo/n/per_b1093/21747,120
esposo/n/usa_g1025/10204,120
marido/n/arg_g1529/11611,119
marido/n/arg_b0284/26889,120
marido/n/spa_b3674/900,120
marido/n/mex_g2424/25240,49
esposo/n/arg_g1404/10347,62
marido/n/mex_g0505/9602,120
marido/n/spa_g0306/7999,120
esposo/n/usa_b1168/23285,29
marido/n/mex_g2117/21259,93
esposo/n/mex_b2107/14937,120
esposo/n/usa_g0229/91338,120
esposo/n/col_g0929/2888,37
esposo/n/per_g0543/24155,20
marido/n/arg_g1817/29520,120
esposo/n/per_b0758/20647,120
marido/n/per_b0963/27642,120
marido/n/per_g0566/8615,120
esposo/n/col_g1380/35367,120
esposo/n/col_b0211/13639,120
esposo/n/per_g0258/11031,138
marido/n/col_b1100/21753,138
esposo/n/per_b0072/38747,121
esposo/n/usa_b1016/14381,57
marido/n/spa_b1133/46576,55
marido/n/mex_g1018/44252,120
esposo/n/usa_g0716/55622,108
esposo/n/usa_g1433/11308,120
esposo/n/per_b0720/29064,120
esposo/n/mex_b1170/25993,120
esposo/n/per_g0543/27852,8
marido/n/arg_g0014/23887,113
esposo/n/mex_g1602/1521,120
marido/n/mex_b2074/46061,120
marido/n/spa_b2014/41753,120
marido/n/arg_g0908/47392,50
esposo/n/mex_g2386/51951,54
marido/n/per_g0510/45369,99
esposo/n/per_g0284/111280,120
esposo/n/usa_g0761/12540,120
marido/n/per_g0510/1166,120
marido/n/col_b1301/27625,120
esposo/n/per_g0481/21735,120
marido/n/mex_b0713/14475,120
esposo/n/per_b0517/55003,120
esposo/n/usa_g0248/83441,120
esposo/n/per_g0212/171,20
marido/n/spa_b0734/17276,69
esposo/n/mex_b0494/57705,120
esposo/n/per_g0531/9321,120
esposo/n/col_b0134/33656,107
esposo/n/mex_g0256/36416,149
marido/n/arg_g1273/30816,120
marido/n/arg_b0249/15934,120
esposo/n/mex_g2476/44801,104
esposo/n/per_b1174/6999,120
marido/n/mex_g0971/15455,120
marido/n/col_g0837/20537,15
esposo/n/arg_b1212/21193,120
marido/n/arg_g0938/17388,120
esposo/n/per_b1022/45504,7
marido/n/spa_b2672/47789,120
marido/n/per_b0136/14739,50
esposo/n/arg_b0363/9910,120
esposo/n/per_g0098/55899,120
esposo/n/usa_g1691/22427,83
marido/n/per_g0077/29469,120
esposo/n/usa_g0031/54603,120
marido/n/mex_g1552/9578,97
esposo/n/col_g0083/55084,120
marido/n/arg_g0177/46132,120
marido/n/usa_b0422/41065,21
esposo/n/per_b0450/23886,38
esposo/n/arg_g1503/5378,113
marido/n/col_g0668/13204,120
marido/n/usa_b0858/57994,120
esposo/n/mex_b0784/30089,137
esposo/n/col_g0079/1279,55
esposo/n/per_b0125/24321,108
esposo/n/mex_b2046/2237,120
esposo/n/mex_g2200/7218,120
esposo/n/arg_b0345/51883,120
marido/n/usa_g0462/58409,120
marido/n/usa_b0873/45606,113
esposo/n/mex_b1675/17989,16
marido/n/mex_g2257/31159,130
esposo/n/per_g0157/25333,120
esposo/n/col_g0856/42259,120
marido/n/spa_g3264/1780,151
esposo/n/per_b0905/31651,120
esposo/n/mex_b2283/19153,120
esposo/n/col_g1479/48746,143
esposo/n/spa_b2642/9989,120
esposo/n/per_b0720/26504,-1
esposo/n/usa_g0397/69362,19
esposo/n/spa_g3306/39317,120
esposo/n/arg_b1405/23280,138
esposo/n/per_g0498/10567,131
marido/n/mex_g1263/41379,120
marido/n/spa_b3915/55552,148
marido/n/usa_b0333/23529,12
marido/n/usa_b0201/44893,138
marido/n/spa_g3603/36357,93
marido/n/mex_g2362/31391,108
marido/n/spa_g1973/26582,120
esposo/n/per_b0996/42968,120
esposo/n/col_g0079/894,21
marido/n/usa_b0453/58347,62
marido/n/usa_b0457/9062,110
esposo/n/per_g0284/61961,120
marido/n/spa_b1724/18486,120
esposo/n/col_b0312/46544,120
esposo/n/mex_g1751/18266,80
marido/n/col_g0709/27048,119
